threshold,tp,fp,fn,tn,sensitivity,specificity,ppv,npv,f1_positive,accuracy,balanced_accuracy,youden_j,referral_rate,cost_fn1x,cost_fn5x,cost_fn10x,cost_fn20x
0.59,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.6,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.61,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.62,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.63,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.64,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.65,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.66,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.67,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.68,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.69,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.7,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.71,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.72,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.73,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.74,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.75,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.76,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.77,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.78,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.79,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.8,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.81,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.82,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.83,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.84,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.85,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.86,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.87,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.88,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.89,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
